Male,AlcYearTotal,EverHadAlcohol,Married,Under21,AlcoholAbuse,White,Black,Asian,Hispanic,LessHighS,HighSchool,SomeCollege,CollegeGrad,Employed,Unemployed,Student/Other,Less20k,20-50k,50-75k,Over75k
0,6,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
1,84,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
0,48,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
1,48,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
1,52,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
1,340,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
1,104,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
1,52,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
1,156,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
0,52,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
1,260,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
1,156,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,48,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
0,156,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
1,312,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
1,24,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
0,32,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1,338,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
0,3,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1,24,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1,104,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,52,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
0,48,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
1,24,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
1,365,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,4,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1,52,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
1,40,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,48,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
0,51,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
0,353,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1,260,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
0,36,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
