YEAR,MONTH_NUM,MONTH_MON,APT_NAME,STATE_NAME,FLT_ARR_1,DLY_APT_1,FLT_ARR_1_DLY,FLT_ARR_1_DLY_15,DLY_APT_ARR_C_1,DLY_APT_ARR_R_1,DLY_APT_ARR_S_1
2016,12.00,DEC,Zí_rich,Switzerland,253.00,667.00,39.00,19.00,0.00,0.00,0.00
2016,12.00,DEC,Sion,Switzerland,12.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Geneva,Switzerland,218.00,10871.00,149.00,134.00,0.00,0.00,0.00
2016,12.00,DEC,Ní¬mes-Garons,France,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,HyíÂres-Le Palyvestre,France,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Strasbourg-Entzheim,France,16.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Bí¢le-Mulhouse,France,70.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Nantes-Atlantique,France,45.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Quimper-Pluguffan,France,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Lannion,France,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Rennes-Saint-Jacques,France,15.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Le Mans,France,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Caen-Carpiquet,France,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Lorient-Lann Bihouí©,France,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Deauville-Normandie,France,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Dinard-Pleurtuit-Saint-Malo,France,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Brest-Bretagne,France,12.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Lille-Lesquin,France,17.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Paris-Orly,France,261.00,3125.00,130.00,77.00,0.00,0.00,0.00
2016,12.00,DEC,Toussus-le-Noble,France,3.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Paris-Charles-de-Gaulle,France,522.00,3085.00,133.00,75.00,0.00,0.00,0.00
2016,12.00,DEC,Paris-Le Bourget,France,10.00,302.00,7.00,4.00,0.00,0.00,0.00
2016,12.00,DEC,Tours-Val de Loire,France,4.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Chí¢lons-Vatry,France,3.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Le Havre-Octeville,France,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Beauvais-Tillí©,France,25.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Avignon-Caumont,France,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Bí©ziers-Vias,France,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Montpellier-Mí©diterraní©e,France,20.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Perpignan-Rivesaltes,France,4.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Nice-CíÇte däó»Azur,France,98.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Marseille-Provence,France,88.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Carcassonne-Salvaza,France,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Istres-Le Tubí©,France,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Saint-Etienne-Bouthí©on,France,3.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Cannes-Mandelieu,France,5.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Lyon-Bron,France,3.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Grenoble-IsíÂre,France,24.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Annecy-Meythet,France,4.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Lyon-Saint-Exupí©ry,France,112.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Clermont-Ferrand-Auvergne,France,4.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Chambí©ry-Aix-les-Bains,France,30.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Ajaccio-Napolí©on-Bonaparte,France,12.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Figari-Sud Corse,France,4.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Calvi-Sainte-Catherine,France,3.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Bastia-Poretta,France,11.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Angers-Marcí©,France,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Metz-Nancy-Lorraine,France,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,DíÇle-Tavaux,France,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Rodez-Marcillac,France,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Biarritz-Bayonne-Anglet,France,11.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Tarbes-Lourdes Pyrí©ní©es,France,3.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Pau-Pyrí©ní©es,France,12.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Toulouse-Blagnac,France,68.00,724.00,33.00,20.00,0.00,0.00,0.00
2016,12.00,DEC,Limoges-Bellegarde,France,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Bergerac-RoumaniíÂre,France,4.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Bordeaux-Mí©rignac,France,48.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Agen-La Garenne,France,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Stockholm/ Bromma,Sweden,11.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Stockholm/ Arlanda,Sweden,126.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Rotterdam,Netherlands,18.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Groningen,Netherlands,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Maastricht-Aachen,Netherlands,10.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Amsterdam/ Schiphol,Netherlands,497.00,11143.00,233.00,215.00,0.00,0.00,0.00
2016,12.00,DEC,London/ Stansted,United Kingdom,198.00,2107.00,69.00,49.00,0.00,0.00,0.00
2016,12.00,DEC,Edinburgh,United Kingdom,108.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Glasgow,United Kingdom,77.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Aberdeen,United Kingdom,41.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,East Midlands,United Kingdom,46.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,London/ Heathrow,United Kingdom,523.00,3007.00,98.00,57.00,0.00,0.00,0.00
2016,12.00,DEC,Farnborough,United Kingdom,10.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,London/ City,United Kingdom,14.00,343.00,9.00,8.00,0.00,0.00,0.00
2016,12.00,DEC,London/ Gatwick,United Kingdom,347.00,6119.00,127.00,102.00,0.00,0.00,0.00
2016,12.00,DEC,Biggin Hill,United Kingdom,6.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Southampton,United Kingdom,40.00,545.00,11.00,10.00,0.00,0.00,220.00
2016,12.00,DEC,London/ Luton,United Kingdom,129.00,750.00,32.00,19.00,0.00,0.00,0.00
2016,12.00,DEC,Manchester,United Kingdom,203.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Birmingham,United Kingdom,106.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Londonderry/Eglinton,United Kingdom,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Belfast/City Airport,United Kingdom,35.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Belfast/Aldergrove,United Kingdom,44.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Bremen,Germany,11.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Hanover,Germany,36.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Berlin/ Tegel,Germany,135.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Stuttgart,Germany,79.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Saarbruecken,Germany,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Leipzig-Halle,Germany,31.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Nuremberg,Germany,27.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Munich,Germany,282.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Dusseldorf,Germany,158.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Cologne-Bonn,Germany,82.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Hamburg,Germany,111.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Muenster-Osnabrueck,Germany,4.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Frankfurt,Germany,309.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Erfurt,Germany,3.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Dresden,Germany,10.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Berlin/ Schoenefeld,Germany,88.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Zí_rich,Switzerland,327.00,319.00,26.00,6.00,0.00,0.00,0.00
2016,12.00,DEC,Sion,Switzerland,19.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Geneva,Switzerland,244.00,0.00,0.00,0.00,0.00,0.00,0.00
