Row Labels,Average of Pref_Attr,Average of Pref_Sinc,Average of Pref_Intel,Average of Pref_Fun,Average of Pref_Amb,Average of Pref_Shar,
0,18.03021282,18.28868718,21.06325385,17.09589487,12.90224615,12.67352835,
1,26.68114951,16.55713262,19.61075781,17.69300563,8.580512033,10.99869944,
Grand Total,22.35900589,17.42224443,20.3364476,17.39467973,10.73971817,11.83331749,
,,,,,,,
,Male,,,,,,
,6.236819307,7.142924233,7.191452724,6.307486631,6.487929894,5.302297668,6.038784326
,7.49623494,7.787878788,7.818664643,7.537290715,7.179588608,6.64624183,7.410526316
,,,,,,,
,Female,,,,,,
,5.678107607,6.951462352,7.317982456,6.000946372,6.846635884,5.108321629,5.727216559
,7.098942598,7.810606061,8.067526555,7.622526636,7.49273021,6.831103679,7.32428356
,,,,,,,
,,,,,,,
,,,,,,,
,Attractiveness,Sincerity,Intelligence,Fun,Ambitious,Shared Interests,Like Level
Male,1.259415633,0.644954555,0.62721192,1.229804084,0.691658713,1.343944162,1.37174199
Female,1.420834992,0.859143708,0.749544099,1.621580264,0.646094326,1.72278205,1.597067001
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Attractiveness,Sincerity,Intelligence,Fun,Ambitious,Shared Interests,
Female,18.03021282,18.28868718,21.06325385,17.09589487,12.90224615,12.67352835,
Male,26.68114951,16.55713262,19.61075781,17.69300563,8.580512033,10.99869944,
