Order_Met,Matched,Interest_Corr,Same_Race,P_Age,P_Pref_Attr,P_Pref_Sinc,P_Pref_Intel,P_Pref_Fun,P_Pref_Amb,P_Pref_Shar,P_Attr,P_Sinc,P_Intel,P_Fun,P_Amb,P_Shar,P_Like,Age,Importance_Race,Importance_Religion,date,Go_Out,Pref_Attr,Pref_Sinc,Pref_Intel,Pref_Fun,Pref_Amb,Pref_Shar,Attr,Sinc,Intel,Fun,Amb,Shar,Like,Met,Architecture,Bio.Chem.Phys.,Business.Econ.,Education,Engineering,Film,Fine_Arts,History.Rel.,Journal.Eng.,Language,Law,Math,Medical_Sc.,PoliSci.Intl.,Social.Wrk.,Social_Sc.,Undecided.Stud.,fd_other,Asian.,Black,Hispanic.,White,race_other,obc_fun_night,obc_get_date.,obc_new_ppl,obc_ser_rel.,obc_ther,obc_tosayso.
0.4,0,0.14,0,21,15,20,20,15,15,15,6,9,7,7,6,5,7,27,7,3,2,3,35,20,20,20,0,5,6,8,8,8,8,6,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,0,0.29,1,24,45,5,25,20,0,5,5,7,8,4,6,3,6,27,7,3,2,3,35,20,20,20,0,5,8,7,6,9,7,4,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.6,0,-0.24,1,25,35,10,35,10,10,0,7,9,10,7,8,9,8,27,7,3,2,3,35,20,20,20,0,5,7,8,6,5,8,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.3,0,-0.18,1,23,20,20,20,20,10,10,4,10,8,5,8,7,6,27,7,3,2,3,35,20,20,20,0,5,6,7,8,7,7,5,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.1,0,-0.43,1,21,20,5,25,25,10,15,5,8,8,2,2,2,7,27,7,3,2,3,35,20,20,20,0,5,6,8,8,8,7,6,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.5,0,0.33,0,23,10,25,20,25,5,15,6,9,7,6,7,6,6,27,7,3,2,3,35,20,20,20,0,5,7,9,8,9,8,4,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.2,0,0.19,0,22,15,15,25,20,15,10,4,8,8,5,7,4,7,27,7,3,2,3,35,20,20,20,0,5,7,8,8,8,7,7,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.7,0,-0.03,1,25,9.09,18.18,27.27,18.18,18.18,9.09,5,8,7,4,7,5,4,27,7,3,2,3,35,20,20,20,0,5,8,7,6,6,6,5,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.8,0,0.19,0,26,20,10,20,30,10,10,8,10,9,8,7,6,5,27,7,3,2,3,35,20,20,20,0,5,6,8,7,8,7,5,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.9,0,0.3,1,26,15,15,15,40,10,5,6,10,10,6,6,6,6,27,7,3,2,3,35,20,20,20,0,5,7,8,7,8,6,5,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
